index,problem_id,gurobi_status,obj_value,ground_truth,correct,error
0,industryOR_0,2,57.0,57.0,1,
1,industryOR_1,2,72.0,72.0,1,
2,industryOR_2,2,32.0,32.0,1,
3,industryOR_3,2,22.0,22.0,1,
4,industryOR_4,2,29.0,29.0,1,
5,industryOR_5,2,26.0,26.0,1,
6,industryOR_6,2,13.0,13.0,1,
7,industryOR_7,2,18.0,18.0,1,
8,industryOR_8,2,9.0,9.0,1,
9,industryOR_9,2,18.0,18.0,1,
10,industryOR_10,2,49.0,49.0,1,
11,industryOR_11,2,27.0,27.0,1,
12,industryOR_12,2,14.0,14.0,1,
13,industryOR_13,2,40.0,40.0,1,
14,industryOR_14,2,18.0,18.0,1,
15,industryOR_15,2,47.0,47.0,1,
16,industryOR_16,2,14.0,14.0,1,
17,industryOR_17,2,11.0,11.0,1,
18,industryOR_18,2,22.0,22.0,1,
19,industryOR_19,2,30.0,30.0,1,
20,industryOR_20,2,24.0,24.0,1,
21,industryOR_21,2,16.0,16.0,1,
22,industryOR_22,2,31.0,31.0,1,
23,industryOR_23,2,10.0,10.0,1,
24,industryOR_24,2,28.0,28.0,1,
25,industryOR_25,2,18.0,18.0,1,
26,industryOR_26,2,31.0,31.0,1,
27,industryOR_27,2,31.0,31.0,1,
28,industryOR_28,2,44.0,44.0,1,
29,industryOR_29,2,54.0,54.0,1,
30,industryOR_30,2,26.0,26.0,1,
31,industryOR_31,2,14.0,14.0,1,
32,industryOR_32,2,47.0,47.0,1,
33,industryOR_33,2,15.0,15.0,1,
34,industryOR_34,2,24.0,24.0,1,
35,industryOR_35,2,24324.0,2114.0,0,
36,industryOR_36,2,4813.0,4813.0,1,
37,industryOR_37,2,4172.0,4172.0,1,
38,industryOR_38,ERROR,,247.0,0,TypeError: 'gurobipy._core.LinExpr' object is not iterable
39,industryOR_39,2,13079.0,13079.0,1,
40,industryOR_40,ERROR,,50.0,0,KeyError: '1'
41,industryOR_41,3,,173.0,0,
42,industryOR_42,ERROR,,257.0,0,KeyError: 'A'
43,industryOR_43,ERROR,,158.0,0,KeyError: 'E'
44,industryOR_44,ERROR,,248.0,0,KeyError: 'City 1'
45,industryOR_45,ERROR,,140.0,0,KeyError: 'City 1'
46,industryOR_46,ERROR,,199.0,0,KeyError: 'E'
47,industryOR_47,ERROR,,138.0,0,KeyError: 'Alpha'
48,industryOR_48,2,203.0,203.0,1,
49,industryOR_49,2,212.0,212.0,1,
50,industryOR_50,2,160.0,160.0,1,
51,industryOR_51,2,46.0,46.0,1,
52,industryOR_52,2,96.0,96.0,1,
53,industryOR_53,2,4.0,22.0,0,
54,industryOR_54,2,15.0,72.0,0,
55,industryOR_55,2,62.0,62.0,1,
56,industryOR_56,2,33.0,33.0,1,
57,industryOR_57,2,56.0,56.0,1,
58,industryOR_58,2,32.0,32.0,1,
59,industryOR_59,2,20.0,69.0,0,
60,industryOR_60,2,60.0,60.0,1,
61,industryOR_61,2,86.0,86.0,1,
62,industryOR_62,2,63.0,63.0,1,
63,industryOR_63,2,61.0,61.0,1,
64,industryOR_64,2,54.0,54.0,1,
65,industryOR_65,2,5.0,60.0,0,
66,industryOR_66,2,7.0,47.0,0,
67,industryOR_67,2,62.0,62.0,1,
68,industryOR_68,2,42.0,42.0,1,
69,industryOR_69,2,89.0,89.0,1,
70,industryOR_70,2,3.0,44.0,0,
71,industryOR_71,2,43.0,43.0,1,
72,industryOR_72,2,4.0,22.0,0,
73,industryOR_73,2,446011.0,446011.0,1,
74,industryOR_74,2,554968.0,554968.0,1,
75,industryOR_75,2,469200.0,469200.0,1,
76,industryOR_76,2,394338.0,394338.0,1,
77,industryOR_77,2,587428.0,587428.0,1,
78,industryOR_78,2,637573.0,637573.0,1,
79,industryOR_79,2,556908.0,556908.0,1,
80,industryOR_80,2,490293.0,490293.0,1,
81,industryOR_81,2,273940.0,273940.0,1,
82,industryOR_82,2,469200.0,469200.0,1,
83,industryOR_83,2,329872.0,329872.0,1,
84,industryOR_84,2,402947.0,402947.0,1,
85,industryOR_85,2,392760.0,392760.0,1,
86,industryOR_86,2,443177.0,443177.0,1,
87,industryOR_87,2,394198.0,394198.0,1,
88,industryOR_88,2,434081.0,434081.0,1,
89,industryOR_89,2,240385.0,240385.0,1,
90,industryOR_90,2,485771.0,485771.0,1,
91,industryOR_91,2,316282.0,316282.0,1,
92,industryOR_92,2,394338.0,394338.0,1,
93,industryOR_93,2,608437.0,608437.0,1,
94,industryOR_94,2,273940.0,273940.0,1,
95,industryOR_95,2,461962.0,461962.0,1,
96,industryOR_96,2,637573.0,637573.0,1,
97,industryOR_97,2,394198.0,394198.0,1,
98,industryOR_98,2,608437.0,608437.0,1,
99,industryOR_99,2,393863.0,393863.0,1,
100,industryOR_100,2,1200.0,1200.0,1,
101,industryOR_101,2,13.0,13.0,1,
102,industryOR_102,2,12.0,12.0,1,
103,industryOR_103,2,11.0,11.0,1,
104,industryOR_104,2,4368.0,4018.0,0,
105,industryOR_105,2,4368.0,3918.0,0,
106,industryOR_106,ERROR,,11370.0,0,KeyError: '1'
107,industryOR_107,ERROR,,12170.0,0,KeyError: '1'
108,industryOR_108,2,148.61089494163426,148.6,0,
109,industryOR_109,2,42142.857142857145,42142.86,1,
110,industryOR_110,2,78450.0,78450.0,1,
