index,problem_id,gurobi_status,obj_value,ground_truth,correct,error
0,mamo_complex_0,2,57.0,57.0,1,
1,mamo_complex_1,2,72.0,72.0,1,
2,mamo_complex_2,2,32.0,32.0,1,
3,mamo_complex_3,2,22.0,22.0,1,
4,mamo_complex_4,2,29.0,29.0,1,
5,mamo_complex_5,2,26.0,26.0,1,
6,mamo_complex_6,2,13.0,13.0,1,
7,mamo_complex_7,2,18.0,18.0,1,
8,mamo_complex_8,2,9.0,9.0,1,
9,mamo_complex_9,2,18.0,18.0,1,
10,mamo_complex_10,2,49.0,49.0,1,
11,mamo_complex_11,2,27.0,27.0,1,
12,mamo_complex_12,2,14.0,14.0,1,
13,mamo_complex_13,2,40.0,40.0,1,
14,mamo_complex_14,2,18.0,18.0,1,
15,mamo_complex_15,2,47.0,47.0,1,
16,mamo_complex_16,2,14.0,14.0,1,
17,mamo_complex_17,2,11.0,11.0,1,
18,mamo_complex_18,2,22.0,22.0,1,
19,mamo_complex_19,2,30.0,30.0,1,
20,mamo_complex_20,2,24.0,24.0,1,
21,mamo_complex_21,2,16.0,16.0,1,
22,mamo_complex_22,2,31.0,31.0,1,
23,mamo_complex_23,2,10.0,10.0,1,
24,mamo_complex_24,2,28.0,28.0,1,
25,mamo_complex_25,2,18.0,18.0,1,
26,mamo_complex_26,2,31.0,31.0,1,
27,mamo_complex_27,2,31.0,31.0,1,
28,mamo_complex_28,2,44.0,44.0,1,
29,mamo_complex_29,2,54.0,54.0,1,
30,mamo_complex_30,2,26.0,26.0,1,
31,mamo_complex_31,2,14.0,14.0,1,
32,mamo_complex_32,2,47.0,47.0,1,
33,mamo_complex_33,2,15.0,15.0,1,
34,mamo_complex_34,2,24.0,24.0,1,
35,mamo_complex_35,3,,2114.0,0,
36,mamo_complex_36,2,4813.0,4813.0,1,
37,mamo_complex_37,2,4172.0,4172.0,1,
38,mamo_complex_38,2,247.0,247.0,1,
39,mamo_complex_39,2,13079.0,13079.0,1,
40,mamo_complex_40,ERROR,,50.0,0,KeyError: '1'
41,mamo_complex_41,3,,173.0,0,
42,mamo_complex_42,2,257.0,257.0,1,
43,mamo_complex_43,ERROR,,158.0,0,KeyError: 'E'
44,mamo_complex_44,ERROR,,248.0,0,KeyError: '1'
45,mamo_complex_45,ERROR,,140.0,0,KeyError: 'City 1'
46,mamo_complex_46,ERROR,,199.0,0,KeyError: 'E'
47,mamo_complex_47,ERROR,,138.0,0,KeyError: 'Alpha'
48,mamo_complex_48,2,203.0,203.0,1,
49,mamo_complex_49,2,212.0,212.0,1,
50,mamo_complex_50,2,160.0,160.0,1,
51,mamo_complex_51,2,46.0,46.0,1,
52,mamo_complex_52,2,96.0,96.0,1,
53,mamo_complex_53,2,4.0,22.0,0,
54,mamo_complex_54,2,15.0,72.0,0,
55,mamo_complex_55,2,62.0,62.0,1,
56,mamo_complex_56,2,33.0,33.0,1,
57,mamo_complex_57,2,56.0,56.0,1,
58,mamo_complex_58,2,32.0,32.0,1,
59,mamo_complex_59,2,20.0,69.0,0,
60,mamo_complex_60,2,60.0,60.0,1,
61,mamo_complex_61,2,86.0,86.0,1,
62,mamo_complex_62,2,63.0,63.0,1,
63,mamo_complex_63,2,61.0,61.0,1,
64,mamo_complex_64,2,54.0,54.0,1,
65,mamo_complex_65,2,5.0,60.0,0,
66,mamo_complex_66,2,-0.0,47.0,0,
67,mamo_complex_67,2,62.0,62.0,1,
68,mamo_complex_68,2,42.0,42.0,1,
69,mamo_complex_69,2,89.0,89.0,1,
70,mamo_complex_70,2,3.0,44.0,0,
71,mamo_complex_71,2,43.0,43.0,1,
72,mamo_complex_72,2,4.0,22.0,0,
73,mamo_complex_73,2,446011.0,446011.0,1,
74,mamo_complex_74,2,554968.0,554968.0,1,
75,mamo_complex_75,2,469200.0,469200.0,1,
76,mamo_complex_76,2,394338.0,394338.0,1,
77,mamo_complex_77,2,587428.0,587428.0,1,
78,mamo_complex_78,2,637573.0,637573.0,1,
79,mamo_complex_79,2,556908.0,556908.0,1,
80,mamo_complex_80,2,490293.0,490293.0,1,
81,mamo_complex_81,2,273940.0,273940.0,1,
82,mamo_complex_82,2,469200.0,469200.0,1,
83,mamo_complex_83,2,329872.0,329872.0,1,
84,mamo_complex_84,2,402947.0,402947.0,1,
85,mamo_complex_85,2,392760.0,392760.0,1,
86,mamo_complex_86,2,443177.0,443177.0,1,
87,mamo_complex_87,2,394198.0,394198.0,1,
88,mamo_complex_88,2,434081.0,434081.0,1,
89,mamo_complex_89,2,240385.0,240385.0,1,
90,mamo_complex_90,2,485771.0,485771.0,1,
91,mamo_complex_91,2,316282.0,316282.0,1,
92,mamo_complex_92,2,394338.0,394338.0,1,
93,mamo_complex_93,2,608437.0,608437.0,1,
94,mamo_complex_94,2,273940.0,273940.0,1,
95,mamo_complex_95,2,461962.0,461962.0,1,
96,mamo_complex_96,2,637573.0,637573.0,1,
97,mamo_complex_97,2,394198.0,394198.0,1,
98,mamo_complex_98,2,608437.0,608437.0,1,
99,mamo_complex_99,2,393863.0,393863.0,1,
100,mamo_complex_100,2,1200.0,1200.0,1,
101,mamo_complex_101,2,13.0,13.0,1,
102,mamo_complex_102,2,12.0,12.0,1,
103,mamo_complex_103,ERROR,,11.0,0,TypeError: unhashable type: 'list'
104,mamo_complex_104,2,4368.0,4018.0,0,
105,mamo_complex_105,2,3918.0,3918.0,1,
106,mamo_complex_106,ERROR,,11370.0,0,KeyError: '1'
107,mamo_complex_107,ERROR,,12170.0,0,KeyError: '1'
108,mamo_complex_108,2,148.61089494163426,148.6,0,
109,mamo_complex_109,2,42142.857142857145,42142.86,1,
110,mamo_complex_110,2,78450.0,78450.0,1,
